"Protein","F_statistic","p_value","Significance"
"eralpha",337.572594680507,7.36277622484405e-174,"***"
"esr1",662.189405042615,2.23110004280439e-259,"***"
"pr",67.0501338352345,2.48165415596855e-49,"***"
"pgr",151.750324919409,6.06923302728769e-98,"***"
"her2",98.0295058166095,1.30224981441126e-68,"***"
"erbb2",102.755905475962,2.18942671103182e-71,"***"
"egfr_mirnaprot",41.9009359449823,4.29884621060993e-32,"***"
"krt5",95.9133949734071,2.34602137137777e-67,"***"
"krt14",67.6230750978391,1.04620878232406e-49,"***"
"krt17",93.8162248157551,4.19872396421478e-66,"***"
"gata3",409.679709608331,1.45137670724741e-196,"***"
"foxa1",811.651664589241,1.78407038671421e-288,"***"
"mki67",89.9681088230725,8.78902826017413e-64,"***"
"bcl2_rna",173.528478707695,1.25237100036637e-108,"***"
"p53",32.5942161428236,2.6351704454939e-25,"***"
"cd24",13.9314662232303,5.16611522907793e-11,"***"
"cd44",14.905421807653,8.86033319839375e-12,"***"
